commit,date,status,path,phase,change_type
1641241f6318d3b4b1237efb68236504ada92c66,2026-05-04T12:27:13-04:00,A,pi/skills/git-workflow/assets/SECURITY.md.template,workflow,source-history
1641241f6318d3b4b1237efb68236504ada92c66,2026-05-04T12:27:13-04:00,A,pi/skills/git-workflow/assets/bug_report.yml.template,workflow,source-history
1641241f6318d3b4b1237efb68236504ada92c66,2026-05-04T12:27:13-04:00,A,pi/skills/git-workflow/assets/copilot-instructions.md.template,workflow,source-history
1641241f6318d3b4b1237efb68236504ada92c66,2026-05-04T12:27:13-04:00,A,pi/skills/git-workflow/assets/pull_request_template.md.template,workflow,source-history
1641241f6318d3b4b1237efb68236504ada92c66,2026-05-04T12:27:13-04:00,A,pi/skills/git-workflow/github-setup.md,workflow,source-history
1641241f6318d3b4b1237efb68236504ada92c66,2026-05-04T12:27:13-04:00,A,pi/skills/git-workflow/gitlab.md,workflow,source-history
1641241f6318d3b4b1237efb68236504ada92c66,2026-05-04T12:27:13-04:00,A,pi/skills/git-workflow/worktrees.md,workflow,source-history
1641241f6318d3b4b1237efb68236504ada92c66,2026-05-04T12:27:13-04:00,A,pi/skills/planning/SKILL.md,workflow,source-history
1641241f6318d3b4b1237efb68236504ada92c66,2026-05-04T12:27:13-04:00,A,pi/skills/ux-design-workflow/1-prd-generator.md,workflow,source-history
1641241f6318d3b4b1237efb68236504ada92c66,2026-05-04T12:27:13-04:00,A,pi/skills/ux-design-workflow/2-prd-to-ux.md,workflow,source-history
1641241f6318d3b4b1237efb68236504ada92c66,2026-05-04T12:27:13-04:00,A,pi/skills/ux-design-workflow/3-ux-to-build-prompts.md,workflow,source-history
1641241f6318d3b4b1237efb68236504ada92c66,2026-05-04T12:27:13-04:00,A,pi/skills/ux-design-workflow/SKILL.md,workflow,source-history
1641241f6318d3b4b1237efb68236504ada92c66,2026-05-04T12:27:13-04:00,A,pi/skills/ux-design-workflow/aesthetics.md,workflow,source-history
1641241f6318d3b4b1237efb68236504ada92c66,2026-05-04T12:27:13-04:00,A,pi/skills/ux-design-workflow/pipeline.md,workflow,source-history
21d25d12b53a2c00bbf6931485a124e3e4e8965b,2026-05-03T21:44:14-04:00,M,pi/skills/workflow/do-it.md,workflow,source-history
21d25d12b53a2c00bbf6931485a124e3e4e8965b,2026-05-03T21:44:14-04:00,M,pi/skills/workflow/plan-it.md,workflow,source-history
21d25d12b53a2c00bbf6931485a124e3e4e8965b,2026-05-03T21:44:14-04:00,M,pi/skills/workflow/review-it.md,workflow,source-history
21d25d12b53a2c00bbf6931485a124e3e4e8965b,2026-05-03T21:44:14-04:00,A,pi/skills/workflow/templates/do-it-report-template.md,workflow,source-history
21d25d12b53a2c00bbf6931485a124e3e4e8965b,2026-05-03T21:44:14-04:00,A,pi/skills/workflow/templates/plan-template.md,workflow,source-history
21d25d12b53a2c00bbf6931485a124e3e4e8965b,2026-05-03T21:44:14-04:00,A,pi/skills/workflow/templates/review-it-reviewer-prompts.md,workflow,source-history
21d25d12b53a2c00bbf6931485a124e3e4e8965b,2026-05-03T21:44:14-04:00,A,pi/skills/workflow/templates/review-synthesis-template.md,workflow,source-history
f4ba3edf289b6bf9bfb5f3159f58efadd70fe0ba,2026-05-03T19:05:58-04:00,M,pi/skills/workflow/do-it.md,workflow,source-history
dd7db655f926a6e4fbcfb6ed925dce5ecfeb2fb6,2026-05-03T18:38:12-04:00,M,pi/skills/workflow/review-it.md,workflow,source-history
17493ec78ed7b00ad6a77d587bf495561579b6db,2026-05-03T17:59:20-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
58e691be6f8afd54b8bc22fab3912ae3cf15568b,2026-05-03T16:11:44-04:00,M,claude/shared/review-it-instructions.md,workflow,source-history
58e691be6f8afd54b8bc22fab3912ae3cf15568b,2026-05-03T16:11:44-04:00,M,pi/skills/workflow/review-it.md,workflow,source-history
